sample	cov_mt_NC_040875.1	cov_NC_031770.1	cov_NC_031799.1	ratio_Z_over_3
/work/mnikvell/data/mapped_reads/s10_EKDN230004359-1A_HNHMFDSX5_L3/s10_EKDN230004359-1A_HNHMFDSX5_L3_sorted_dedup.bam	1885.35	34.9602	19.8227	0.567005
/work/mnikvell/data/mapped_reads/s11_EKDN230004360-1A_HNHMFDSX5_L3/s11_EKDN230004360-1A_HNHMFDSX5_L3_sorted_dedup.bam	2790.41	42.2742	43.5318	1.02975
/work/mnikvell/data/mapped_reads/s12_EKDN230004361-1A_HNHMFDSX5_L3/s12_EKDN230004361-1A_HNHMFDSX5_L3_sorted_dedup.bam	2445.72	41.3172	42.7312	1.03422
/work/mnikvell/data/mapped_reads/s16_EKDN230004365-1A_HNHMFDSX5_L3/s16_EKDN230004365-1A_HNHMFDSX5_L3_sorted_dedup.bam	2114.49	40.2158	41.4563	1.03084
/work/mnikvell/data/mapped_reads/s17_EKDN230004366-1A_HNHMFDSX5_L4/s17_EKDN230004366-1A_HNHMFDSX5_L4_sorted_dedup.bam	3236.58	51.3494	28.9153	0.563108
/work/mnikvell/data/mapped_reads/s4_EKDN230004353-1A_HNHMFDSX5_L3/s4_EKDN230004353-1A_HNHMFDSX5_L3_sorted_dedup.bam	2365.01	45.0762	25.5801	0.567485
/work/mnikvell/data/mapped_reads/s5_EKDN230004354-1A_HNHMFDSX5_L3/s5_EKDN230004354-1A_HNHMFDSX5_L3_sorted_dedup.bam	1954.82	43.9714	24.8285	0.564649
/work/mnikvell/data/mapped_reads/s6_EKDN230004355-1A_HNHMFDSX5_L3/s6_EKDN230004355-1A_HNHMFDSX5_L3_sorted_dedup.bam	3318.5	42.6307	24.168	0.566914
/work/mnikvell/data/mapped_reads/s8_EKDN230004357-1A_HNW3NDSX5_L1/s8_EKDN230004357-1A_HNW3NDSX5_L1_sorted_dedup.bam	2051.23	41.0445	42.2458	1.02927
/work/mnikvell/data/mapped_reads/s9_EKDN230004358-1A_HNHMFDSX5_L3/s9_EKDN230004358-1A_HNHMFDSX5_L3_sorted_dedup.bam	2484.01	43.2214	44.7084	1.0344
