a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	SRR5423293	SRR5423294	12653218	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	-0.000007	-15685472.066978	78	-15685477.624183	0.993748	5.106018e-01,1.538151e-01,2.374570e-02,1.645175e-01,9.063555e-02,1.762278e-02,2.005027e-02,1.470956e-02,4.301789e-03	0.483210	0.229771	0.005722	-18632234.483387	6
0	2	SRR5423293	SRR5423295	12645830	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000002	0.000002	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000005	0.000000	-15561082.829583	46	-15561090.610621	0.993167	5.073316e-01,1.618961e-01,1.892415e-02,1.622822e-01,9.481904e-02,1.569114e-02,1.927290e-02,1.578149e-02,4.001427e-03	0.402842	0.240750	0.033789	-18523144.493702	6
0	3	SRR5423293	SRR5423296	12654764	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	-15559958.099970	70	-15559961.730902	0.993869	5.073188e-01,1.618716e-01,1.894345e-02,1.615016e-01,9.574299e-02,1.556543e-02,1.924380e-02,1.586369e-02,3.948666e-03	0.398852	0.243627	0.035455	-18535873.712327	6
0	4	SRR5423293	SRR5423297	12656635	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000001	0.000001	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000000	-15579404.695017	86	-15579414.299098	0.994016	5.077733e-01,1.607313e-01,1.963516e-02,1.622730e-01,9.463681e-02,1.587418e-02,1.941971e-02,1.565882e-02,3.997693e-03	0.412682	0.240444	0.030391	-18555626.674987	6
0	5	SRR5423293	SRR5423298	12655160	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000002	0.000002	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000004	-0.000000	-15597604.404311	42	-15597610.684477	0.993900	5.091577e-01,1.589960e-01,1.997513e-02,1.616822e-01,9.489779e-02,1.623769e-02,1.909845e-02,1.573474e-02,4.220347e-03	0.411744	0.242257	0.030880	-18555822.904988	6
0	6	SRR5423293	SRR5423299	12649226	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000001	0.000001	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000003	0.000000	-15568644.564660	46	-15568648.501308	0.993434	5.069659e-01,1.615458e-01,1.962456e-02,1.617525e-01,9.508307e-02,1.596156e-02,1.922786e-02,1.573555e-02,4.103278e-03	0.408616	0.241421	0.031877	-18555335.730782	6
0	7	SRR5423293	SRR5423300	12658356	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	-15588552.574988	42	-15588555.278531	0.994151	5.062813e-01,1.626450e-01,1.919534e-02,1.618060e-01,9.543206e-02,1.557083e-02,1.939615e-02,1.570002e-02,3.973269e-03	0.404387	0.242021	0.033387	-18563856.912986	6
0	8	SRR5423293	SRR5423301	12653253	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000002	0.000002	0.000004	0.000002	0.000002	0.000000	0.000002	0.000002	0.000007	-0.000000	-15570416.363308	47	-15570427.045103	0.993750	5.067607e-01,1.621816e-01,1.919864e-02,1.617794e-01,9.537492e-02,1.565304e-02,1.938464e-02,1.573296e-02,3.934011e-03	0.404543	0.242111	0.033343	-18545440.866144	6
0	9	SRR5423293	SRR5423302	12651257	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000001	0.000009	0.000001	0.000001	0.000001	0.000000	0.000001	0.000001	0.000006	-0.000004	-15669998.786068	42	-15670007.402814	0.993594	5.076725e-01,1.585421e-01,2.194807e-02,1.632164e-01,9.265946e-02,1.691548e-02,1.973144e-02,1.513198e-02,4.182617e-03	0.449814	0.234293	0.017251	-18622221.234694	6
1	2	SRR5423294	SRR5423295	12647488	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	-15674624.347004	50	-15674625.368626	0.993298	5.108187e-01,1.647977e-01,1.954014e-02,1.543550e-01,9.000686e-02,1.479586e-02,2.368652e-02,1.769903e-02,4.300181e-03	0.480260	0.227938	0.006684	-18612649.632035	6
