a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	s10	s11	13014287	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000001	0.000001	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000004	-0.000000	-16023853.057378	62	-16023860.964568	0.994273	4.968612e-01,1.585594e-01,1.835785e-02,1.745781e-01,1.001528e-01,1.500519e-02,1.806817e-02,1.475274e-02,3.664570e-03	0.363705	0.250807	0.048474	-19141994.520768	6
0	2	s10	s12	13013502	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000001	0.000001	0.000001	0.000001	0.000001	0.000000	0.000001	0.000001	0.000002	-0.000000	-16041799.149363	62	-16041803.052054	0.994213	4.961239e-01,1.594314e-01,1.822141e-02,1.744388e-01,1.001176e-01,1.519792e-02,1.797542e-02,1.480511e-02,3.688480e-03	0.361543	0.250250	0.049146	-19153544.025652	6
0	3	s10	s16	13013055	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000002	0.000002	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000005	0.000000	-16021315.630354	45	-16021324.693442	0.994179	4.967940e-01,1.586028e-01,1.839193e-02,1.741584e-01,1.004285e-01,1.514131e-02,1.804390e-02,1.472751e-02,3.711528e-03	0.362804	0.251659	0.048904	-19149263.743100	6
0	4	s10	s17	13016962	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	-0.000000	-16198565.125446	46	-16198572.697092	0.994478	4.946949e-01,1.611273e-01,1.779338e-02,1.609500e-01,1.129502e-01,1.598124e-02,1.764380e-02,1.484409e-02,4.015136e-03	0.313742	0.290854	0.072695	-19276751.474090	6
0	5	s10	s4	13016140	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000008	0.000002	0.000002	0.000005	0.000002	0.000002	0.000001	0.000002	0.000003	0.000008	-0.000000	-16142841.336189	51	-16142853.705548	0.994415	4.947151e-01,1.607330e-01,1.819482e-02,1.620934e-01,1.126487e-01,1.513100e-02,1.792283e-02,1.484850e-02,3.712674e-03	0.320622	0.289642	0.069907	-19252686.736441	6
0	6	s10	s5	13015137	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000014	0.000002	0.000002	0.000008	0.000002	0.000002	0.000009	0.000002	0.000011	0.000014	-0.000000	-16122873.550870	59	-16122885.089186	0.994338	5.011438e-01,1.548333e-01,1.763289e-02,1.576135e-01,1.163721e-01,1.589217e-02,1.681023e-02,1.541384e-02,4.288123e-03	0.295974	0.307703	0.082370	-19191611.369725	6
0	7	s10	s6	13014429	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000001	0.000001	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000005	-0.000000	-16156842.979006	58	-16156850.444508	0.994284	4.934849e-01,1.619280e-01,1.821340e-02,1.620192e-01,1.127907e-01,1.506993e-02,1.799139e-02,1.477364e-02,3.728855e-03	0.320991	0.289210	0.069698	-19268216.306632	6
0	8	s10	s8	13014370	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000001	0.000001	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000003	-0.000000	-16037485.086825	70	-16037489.925193	0.994280	4.967481e-01,1.588180e-01,1.820372e-02,1.753089e-01,9.922442e-02,1.518369e-02,1.797464e-02,1.479451e-02,3.744048e-03	0.364611	0.247885	0.047760	-19140430.888248	6
0	9	s10	s9	13013785	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000002	0.000002	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000003	-0.000000	-16027799.936338	58	-16027807.374233	0.994235	4.972599e-01,1.580076e-01,1.851186e-02,1.740737e-01,1.004179e-01,1.524604e-02,1.795766e-02,1.477186e-02,3.753458e-03	0.363178	0.251946	0.048814	-19149957.274655	6
1	2	s11	s12	13017807	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	-0.000000	-15951817.967597	58	-15951818.826565	0.994542	5.121014e-01,1.590483e-01,1.834273e-02,1.582160e-01,1.002378e-01,1.504604e-02,1.818965e-02,1.510264e-02,3.715369e-03	0.364457	0.261073	0.049596	-18938665.816734	6
