Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCF_002901205.1		Primary Assembly	1			PDCF01000003.1	Chromosome		NW_019776190.1	unlocalized-scaffold	47299075		69
GCF_002901205.1		Primary Assembly	1			PDCF01000006.1	Chromosome		NW_019776212.1	unlocalized-scaffold	29622283		69
GCF_002901205.1		Primary Assembly	1			PDCF01000007.1	Chromosome		NW_019776201.1	unlocalized-scaffold	37301315		69
GCF_002901205.1		Primary Assembly	1			PDCF01000014.1	Chromosome		NW_019776223.1	unlocalized-scaffold	21357969		69
GCF_002901205.1		Primary Assembly	1			PDCF01000036.1	Chromosome		NW_019776258.1	unlocalized-scaffold	5570291		69
GCF_002901205.1		Primary Assembly	1			PDCF01000038.1	Chromosome		NW_019776234.1	unlocalized-scaffold	12991517		69
GCF_002901205.1		Primary Assembly	1			PDCF01000046.1	Chromosome		NW_019776245.1	unlocalized-scaffold	9488580		69
GCF_002901205.1		Primary Assembly	1			PDCF01000047.1	Chromosome		NW_019776256.1	unlocalized-scaffold	8621448		69
GCF_002901205.1		Primary Assembly	1			PDCF01000057.1	Chromosome		NW_019776257.1	unlocalized-scaffold	5444540		69
GCF_002901205.1		Primary Assembly	1			PDCF01000063.1	Chromosome		NW_019776192.1	unlocalized-scaffold	4714530		69
GCF_002901205.1		Primary Assembly	1			PDCF01000069.1	Chromosome		NW_019776191.1	unlocalized-scaffold	5202912		69
GCF_002901205.1		Primary Assembly	1			PDCF01000070.1	Chromosome		NW_019776193.1	unlocalized-scaffold	3757180		69
GCF_002901205.1		Primary Assembly	1			PDCF01000074.1	Chromosome		NW_019776195.1	unlocalized-scaffold	1576767		69
GCF_002901205.1		Primary Assembly	1			PDCF01000076.1	Chromosome		NW_019776214.1	unlocalized-scaffold	37270		69
GCF_002901205.1		Primary Assembly	1			PDCF01000078.1	Chromosome		NW_019776194.1	unlocalized-scaffold	2505619		69
GCF_002901205.1		Primary Assembly	1			PDCF01000096.1	Chromosome		NW_019776196.1	unlocalized-scaffold	1242203		69
GCF_002901205.1		Primary Assembly	1			PDCF01000102.1	Chromosome		NW_019776197.1	unlocalized-scaffold	989197		69
GCF_002901205.1		Primary Assembly	1			PDCF01000114.1	Chromosome		NW_019776198.1	unlocalized-scaffold	676183		69
GCF_002901205.1		Primary Assembly	1			PDCF01000127.1	Chromosome		NW_019776200.1	unlocalized-scaffold	266458		69
GCF_002901205.1		Primary Assembly	1			PDCF01000131.1	Chromosome		NW_019776202.1	unlocalized-scaffold	241097		69
GCF_002901205.1		Primary Assembly	1			PDCF01000136.1	Chromosome		NW_019776203.1	unlocalized-scaffold	225282		69
GCF_002901205.1		Primary Assembly	1			PDCF01000141.1	Chromosome		NW_019776204.1	unlocalized-scaffold	197168		69
GCF_002901205.1		Primary Assembly	1			PDCF01000145.1	Chromosome		NW_019776205.1	unlocalized-scaffold	186632		69
GCF_002901205.1		Primary Assembly	1			PDCF01000170.1	Chromosome		NW_019776206.1	unlocalized-scaffold	129618		69
GCF_002901205.1		Primary Assembly	1			PDCF01000171.1	Chromosome		NW_019776207.1	unlocalized-scaffold	126764		69
